"Symbol","EnsemblID","logFC","adj.P.Val","Description"
"SYNM-AS2","ENSG00000261054",3.24187365012356,1.98524216302354e-12,"SYNM antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:56228]"
"IGFBP7-AS1","ENSG00000245067",3.56341468269266,4.90507031857642e-12,"IGFBP7 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40296]"
"TTN-AS1","ENSG00000237298",2.43637353129886,8.3499028526764e-11,"TTN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44124]"
"","ENSG00000272540",2.4040350834503,1.03801329844389e-10,"novel transcript, antisense to TUBB"
"VIM-AS1","ENSG00000229124",2.09023798259476,1.37888826008336e-10,"VIM antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44879]"
"","ENSG00000267769",2.77973667764143,2.53001762632726e-09,"novel transcript, antisense to UBX6"
"DM1-AS","ENSG00000267395",2.27578881306204,2.58365302954573e-09,"DM1 locus antisense RNA [Source:HGNC Symbol;Acc:HGNC:53125]"
"SMIM10L1","ENSG00000256537",1.90506935361806,8.03437979346187e-09,"small integral membrane protein 10 like 1 [Source:HGNC Symbol;Acc:HGNC:49847]"
"","ENSG00000227766",3.57368361980091,4.33917405117774e-08,"HLA complex group 4 pseudogene 5"
"TUBA1B-AS1","ENSG00000258017",3.04904723439088,4.33917405117774e-08,"TUBA1B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56356]"
"","ENSG00000225315",2.99861648635783,7.71340275827318e-08,"novel transcript, antisense to MYOM3"
"JSRP1","ENSG00000167476",3.40009518828682,1.0473130578121e-07,"junctional sarcoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:24963]"
"KIF1C-AS1","ENSG00000227495",3.46973810262365,1.0473130578121e-07,"KIF1C antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40324]"
"NDUFB2-AS1","ENSG00000240889",2.12039380639955,1.31773661912549e-07,"NDUFB2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40396]"
"","ENSG00000248015",2.4106292952831,1.31773661912549e-07,"novel transcript, antisense to NDUFS7"
NA,"ENSG00000269871",3.01429794020958,1.62989764065051e-07,NA
"","ENSG00000272114",2.57969732254235,1.62989764065051e-07,"novel transcript, antisense to VEGFA"
"","ENSG00000225721",2.50786650080848,2.21362668751979e-07,"novel transcript"
"","ENSG00000267984",3.39480495291899,2.28071575889837e-07,"novel transcript, antisense to ETFB"
"","ENSG00000266283",2.44020588702502,3.76448110018132e-07,"novel transcript, antisense to GATA6"
"","ENSG00000254400",1.98578332793922,4.975175431567e-07,"novel transcript"
"MIR302CHG","ENSG00000249532",2.50140438668547,4.98099045652021e-07,"miR-302/367 cluster host gene [Source:HGNC Symbol;Acc:HGNC:41070]"
"RPL34P27","ENSG00000232858",-1.60530652934053,6.84093406408999e-07,"ribosomal protein L34 pseudogene 27 [Source:HGNC Symbol;Acc:HGNC:36369]"
"","ENSG00000267062",3.56199235534313,7.21156000272271e-07,"novel transcript, antisense to PRDX2"
"","ENSG00000254741",2.83926421039641,7.6503874286161e-07,"novel transcript"
"GAS6-AS1","ENSG00000233695",1.98731336351142,7.89566372031819e-07,"GAS6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39826]"
"LDLRAD2","ENSG00000187942",3.23267707626755,1.10683648309241e-06,"low density lipoprotein receptor class A domain containing 2 [Source:HGNC Symbol;Acc:HGNC:32071]"
"UQCRB-AS1","ENSG00000254224",1.68429417482504,1.15011872241107e-06,"UQCRB antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55521]"
"MYL12-AS1","ENSG00000264235",3.37978894920517,1.22208739359903e-06,"MYL12A and MYL12B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55331]"
NA,"ENSG00000268059",2.7422675367683,1.49845515125309e-06,NA
"","ENSG00000234638",3.6123694735617,1.69698161688827e-06,"novel transcript"
"","ENSG00000230149",1.99753580172105,1.71144946876386e-06,"novel transcript, antisense to SUN2"
"","ENSG00000267328",3.90686343147278,1.72342993813188e-06,"novel transcript"
"BEST1","ENSG00000167995",1.97722923453291,1.79485828340025e-06,"bestrophin 1 [Source:HGNC Symbol;Acc:HGNC:12703]"
"","ENSG00000272173",1.55409643472693,1.85421472601888e-06,"novel transcript, antisense to C12orf57"
"","ENSG00000258444",2.70640157357426,1.96370129154746e-06,"novel transcript, antisense to MYH7"
"","ENSG00000250186",3.08669870010311,1.99481692063643e-06,"novel transcript, antisense to PHB"
"","ENSG00000273149",2.99630545402729,2.19144763261881e-06,"novel transcript, antisense to TPT1"
"","ENSG00000223343",2.19836218727545,2.31224482091394e-06,"novel transcript"
NA,"ENSG00000256304",2.21316414480174,2.52637529917684e-06,NA
NA,"ENSG00000203602",2.64558533635413,2.86419396538121e-06,NA
"RPL30-AS1","ENSG00000245970",3.46318217683434,2.86419396538121e-06,"RPL30 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56064]"
"","ENSG00000267469",3.24465677882115,3.43869313038559e-06,"novel transcript, antisense to TLE5"
"MIF","ENSG00000240972",1.78416420404244,3.73462253901194e-06,"macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]"
"","ENSG00000258430",2.57027484654183,3.73462253901194e-06,"novel transcript, antisense to AKT1"
"CIMIP2A","ENSG00000188163",2.7718899655696,3.73462253901194e-06,"ciliary microtubule inner protein 2A [Source:HGNC Symbol;Acc:HGNC:33818]"
"ACTA2-AS1","ENSG00000180139",3.34815839161173,3.84373716670477e-06,"ACTA2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:45169]"
NA,"ENSG00000242349",2.86375021386581,5.18314088222277e-06,NA
"","ENSG00000265401",2.78272251905912,5.69727965213891e-06,"novel transcript"
"","ENSG00000269968",2.66224756635744,6.35842457275222e-06,"novel transcript, antisense to GAPDH"
